Sample;GasConcentration;Ref;Gas;Temperature;Pressure;Humidity;Ratio;Transmittance;Absorption;PredictedAbsorption;NR;NA;Span;NR_Comp;Span_Comp;FinalCompensatedConcentration
1,000;0,000;2,490;2,206;45,500;1013,000;35,000;;;;;;;;;;
2,000;0,500;2,489;2,155;46,200;1013,020;35,500;;;;;;;;;;
3,000;1,000;2,491;2,095;46,800;1013,050;36,000;;;;;;;;;;
4,000;1,500;2,489;1,985;47,100;1013,080;36,200;;;;;;;;;;
5,000;2,000;2,490;1,875;47,500;1013,100;36,500;;;;;;;;;;
6,000;2,500;2,491;1,770;48,000;1013,120;37,000;;;;;;;;;;
7,000;3,000;2,488;1,675;48,400;1013,150;36,800;;;;;;;;;;
8,000;3,500;2,489;1,580;48,800;1013,180;37,200;;;;;;;;;;
9,000;4,000;2,490;1,495;49,100;1013,200;37,500;;;;;;;;;;
10,000;4,500;2,489;1,410;49,500;1013,220;38,000;;;;;;;;;;
11,000;5,000;2,490;1,330;49,800;1013,250;38,200;;;;;;;;;;
12,000;5,500;2,490;1,255;50,000;1013,280;38,500;;;;;;;;;;
