Sample;GasConcentration;Ref;Gas;Temperature;Pressure;Humidity;Ratio;Transmittance;Absorption;PredictedAbsorption;NR;NA;Span;NR_Comp;Span_Comp;FinalCompensatedConcentration
1,000;0,000;3,000;2,000;2,000;1013,000;43,000;;;;;;;;;;
2,000;0,500;2,514;2,125;2,800;1013,150;42,800;;;;;;;;;;
3,000;1,000;2,514;2,015;3,100;1013,120;43,000;;;;;;;;;;
4,000;1,500;2,515;1,852;3,500;1013,200;43,200;;;;;;;;;;
5,000;2,000;2,516;1,705;3,200;1013,180;43,500;;;;;;;;;;
6,000;2,500;2,513;1,568;4,100;1013,220;44,000;;;;;;;;;;
7,000;3,000;2,514;1,442;4,500;1013,250;43,800;;;;;;;;;;
8,000;3,500;2,515;1,325;4,800;1013,300;44,200;;;;;;;;;;
9,000;4,000;2,515;1,218;4,900;1013,280;44,500;;;;;;;;;;
10,000;4,500;2,514;1,115;5,000;1013,350;45,000;;;;;;;;;;
11,000;5,000;2,515;1,012;4,950;1013,320;45,200;;;;;;;;;;
12,000;5,500;2,515;0,915;5,100;1013,400;45,500;;;;;;;;;;
